Timestamp,MetaX,MetaY,MetaZ,LidarID,LidarX,LidarY,Width,Length,Rotation,ClassType,Height
1714343847.7521014,0.0,0.0,0.0,471981874,79.29795837402344,-83.3494873046875,0.44052854180336,0.44875776767730713,2.563044786453247,10,1.399999976158142
1714343847.7521453,0.0,0.0,0.0,179460513,135.035400390625,-113.09796905517578,0.4413239657878876,0.445450097322464,0.3854781687259674,10,1.399999976158142
1714343847.7521737,0.0,0.0,0.0,874095672,72.1554946899414,-105.60816192626953,0.4385802447795868,0.5713874101638794,3.0641870498657227,10,1.399999976158142
1714343847.7521996,0.0,0.0,0.0,49187544,85.07344055175781,-77.4810791015625,0.4399932026863098,0.4423981010913849,1.2544960975646973,10,1.399999976158142
1714343847.7522256,0.0,0.0,0.0,828538785,76.49967193603516,-127.25479125976562,0.4403330087661743,0.44580137729644775,4.434782981872559,10,1.399999976158142
1714343847.7522516,0.0,0.0,0.0,99907455,80.2372817993164,-119.83684539794922,0.4397560954093933,0.4391939640045166,-0.4501231014728546,10,1.399999976158142
1714343847.7522779,0.0,0.0,0.0,114034356,85.52953338623047,-138.0819854736328,0.44240981340408325,0.4670220613479614,-0.5482466816902161,10,1.399999976158142
1714343847.7523034,0.0,0.0,0.0,220475750,81.6807861328125,-134.7113037109375,0.43775367736816406,0.7517223358154297,-1.583565354347229,13,1.399999976158142
1714343847.7523286,0.0,0.0,0.0,9368760,84.4985580444336,-125.27542114257812,0.44294488430023193,0.4448760747909546,1.4057482481002808,10,1.399999976158142
1714343847.7523544,0.0,0.0,0.0,170718413,81.72300720214844,-80.30390930175781,0.43948888778686523,0.4514336585998535,1.3935106992721558,10,1.399999976158142
1714343847.7523794,0.0,0.0,0.0,222680676,80.36106872558594,-83.88658142089844,0.43980565667152405,0.43709278106689453,1.7771422863006592,10,1.399999976158142
1714343847.930731,9.398045,0.528145,-1.185045,471981874,79.55241394042969,-83.78031921386719,0.4405299425125122,0.44876354932785034,2.6069812774658203,10,1.399999976158142
1714343847.930776,9.398045,0.528145,-1.185045,179460513,135.035400390625,-113.09796905517578,0.4413239657878876,0.445450097322464,0.3854781687259674,10,1.399999976158142
1714343847.9308066,9.398045,0.528145,-1.185045,874095672,72.14962005615234,-105.61296081542969,0.43857449293136597,0.5716025233268738,3.064016819000244,10,1.399999976158142
1714343847.930837,9.398045,0.528145,-1.185045,49187544,85.1060791015625,-77.22093963623047,0.4399968087673187,0.44239723682403564,1.3317828178405762,10,1.399999976158142
1714343847.9308658,9.398045,0.528145,-1.185045,828538785,76.46369171142578,-126.97357177734375,0.4403097927570343,0.4457026720046997,4.499583721160889,10,1.399999976158142
1714343847.9308941,9.398045,0.528145,-1.185045,99907455,80.60601043701172,-119.9020004272461,0.43977051973342896,0.43919607996940613,-0.13308380544185638,10,1.399999976158142
1714343847.9309235,9.398045,0.528145,-1.185045,114034356,85.50127410888672,-137.77334594726562,0.4423811435699463,0.4664558470249176,-0.9402892589569092,10,1.399999976158142
1714343847.930953,9.398045,0.528145,-1.185045,220475750,81.43020629882812,-135.79232788085938,0.4377574026584625,0.7533732652664185,-1.6289138793945312,13,1.399999976158142
1714343847.9309812,9.398045,0.528145,-1.185045,9368760,84.49765014648438,-125.44141387939453,0.44296061992645264,0.445411741733551,1.2303022146224976,10,1.399999976158142
1714343847.9310093,9.398045,0.528145,-1.185045,170718413,81.87264251708984,-80.18965148925781,0.4395214021205902,0.4491773545742035,0.8410376310348511,10,1.399999976158142
1714343848.0430334,9.398465,0.528345,-1.185112,471981874,79.51272583007812,-83.77239227294922,0.4405302107334137,0.4487626552581787,2.606705904006958,10,1.399999976158142
1714343848.0430753,9.398465,0.528345,-1.185112,179460513,135.035400390625,-113.09796905517578,0.4413239657878876,0.445450097322464,0.3854781687259674,10,1.399999976158142
1714343848.0431066,9.398465,0.528345,-1.185112,874095672,72.14440155029297,-105.60865020751953,0.4385710060596466,0.5716466903686523,3.063898801803589,10,1.399999976158142
1714343848.0431356,9.398465,0.528345,-1.185112,49187544,85.11490631103516,-77.0978012084961,0.4399949908256531,0.44239407777786255,1.3528144359588623,10,1.399999976158142
1714343848.0431643,9.398465,0.528345,-1.185112,828538785,76.46694946289062,-126.8163070678711,0.4402967393398285,0.4456671476364136,4.665997505187988,10,1.399999976158142
1714343848.0432186,9.398465,0.528345,-1.185112,99907455,80.76748657226562,-119.94776916503906,0.4397742450237274,0.4392237365245819,-0.24645449221134186,10,1.399999976158142
1714343848.0432494,9.398465,0.528345,-1.185112,114034356,85.51341247558594,-137.64041137695312,0.4423592984676361,0.4661853611469269,-0.8533759713172913,10,1.399999976158142
1714343848.0432773,9.398465,0.528345,-1.185112,220475750,81.30935668945312,-136.27671813964844,0.4377777874469757,0.7541876435279846,-1.6517432928085327,13,1.399999976158142
1714343848.0433047,9.398465,0.528345,-1.185112,9368760,84.48989868164062,-125.53035736083984,0.44307026267051697,0.44601303339004517,1.2004553079605103,10,1.399999976158142
1714343848.0433333,9.398465,0.528345,-1.185112,170718413,81.93994903564453,-80.17040252685547,0.4395604133605957,0.44731199741363525,0.5500189065933228,10,1.399999976158142
1714343848.1490247,9.398976,0.5287666,-1.184845,471981874,79.45116424560547,-83.736328125,0.4405304789543152,0.44875985383987427,2.624000310897827,10,1.399999976158142
1714343848.1490679,9.398976,0.5287666,-1.184845,179460513,135.035400390625,-113.09796905517578,0.4413239657878876,0.445450097322464,0.3854781687259674,10,1.399999976158142
